Wall time,Step,Value
1723823082.947687,0,2.0979509353637695
1723823093.516873,1,1.37339448928833
1723823104.897729,2,1.0602188110351562
1723823116.491836,3,0.8400980234146118
1723823127.969251,4,0.690685510635376
1723823139.142656,5,0.5944363474845886
1723823150.480319,6,0.517131507396698
1723823161.866285,7,0.45216578245162964
1723823173.23053,8,0.40388888120651245
1723823184.558443,9,0.3609449565410614
1723823195.903535,10,0.3244052529335022
1723823207.274086,11,0.2854272127151489
1723823218.61245,12,0.2563023865222931
1723823230.132476,13,0.23997177183628082
1723823241.411958,14,0.2035287767648697
1723823252.80664,15,0.19360017776489258
1723823264.319171,16,0.17523781955242157
1723823275.82618,17,0.15673428773880005
1723823287.277503,18,0.1445368528366089
1723823298.737688,19,0.1273779571056366
1723823310.117461,20,0.11968658864498138
1723823321.615327,21,0.11714502424001694
1723823332.932962,22,0.09912144392728806
1723823344.494103,23,0.0892801433801651
1723823355.900899,24,0.08519013971090317
1723823367.401463,25,0.08210522681474686
1723823378.711971,26,0.0806250274181366
1723823390.096666,27,0.06086505949497223
1723823401.464404,28,0.06411992013454437
1723823413.076482,29,0.0554957240819931
1723823424.506561,30,0.054394617676734924
1723823436.001083,31,0.05415728688240051
1723823447.52691,32,0.05157548934221268
1723823459.013972,33,0.037691425532102585
1723823470.604975,34,0.04826780781149864
1723823482.123228,35,0.04144997149705887
1723823493.591756,36,0.026831557974219322
1723823505.107212,37,0.029349615797400475
1723823516.620177,38,0.025663988664746284
1723823528.186485,39,0.031792592257261276
1723823539.694479,40,0.031510040163993835
1723823551.107973,41,0.022433102130889893
1723823562.570704,42,0.040913086384534836
1723823574.296008,43,0.023437051102519035
1723823585.890092,44,0.01623898558318615
1723823597.465643,45,0.015342365950345993
1723823609.202445,46,0.014502938836812973
1723823620.675533,47,0.01768955960869789
1723823632.265049,48,0.02235236018896103
1723823643.838687,49,0.024211706593632698
