Wall time,Step,Value
1723823082.947193,0,0.2950666546821594
1723823093.51627,1,0.5428666472434998
1723823104.897009,2,0.6535999774932861
1723823116.491071,3,0.7250666618347168
1723823127.968654,4,0.7766666412353516
1723823139.142047,5,0.8095999956130981
1723823150.479702,6,0.8338000178337097
1723823161.865687,7,0.8569333553314209
1723823173.22989,8,0.8762000203132629
1723823184.557796,9,0.8905333280563354
1723823195.90291,10,0.902999997138977
1723823207.273411,11,0.9133333563804626
1723823218.611824,12,0.9243999719619751
1723823230.131804,13,0.9287333488464355
1723823241.411326,14,0.9430666565895081
1723823252.806032,15,0.942466676235199
1723823264.318583,16,0.9487333297729492
1723823275.825528,17,0.9559999704360962
1723823287.276899,18,0.9595999717712402
1723823298.737044,19,0.9649999737739563
1723823310.116861,20,0.9666000008583069
1723823321.614693,21,0.9652666449546814
1723823332.932345,22,0.9718666672706604
1723823344.493451,23,0.9742666482925415
1723823355.900292,24,0.9751333594322205
1723823367.400827,25,0.9751999974250793
1723823378.711137,26,0.9771999716758728
1723823390.096018,27,0.9841333627700806
1723823401.463761,28,0.9812666773796082
1723823413.075834,29,0.9831333160400391
1723823424.505933,30,0.9847999811172485
1723823436.000465,31,0.9848666787147522
1723823447.526253,32,0.9845333099365234
1723823459.01335,33,0.9896000027656555
1723823470.604357,34,0.9858666658401489
1723823482.122634,35,0.9896000027656555
1723823493.591125,36,0.9932000041007996
1723823505.106566,37,0.9908000230789185
1723823516.619517,38,0.9932000041007996
1723823528.185874,39,0.9905999898910522
1723823539.693846,40,0.9899333119392395
1723823551.107353,41,0.9937333464622498
1723823562.570012,42,0.9871333241462708
1723823574.295383,43,0.9934666752815247
1723823585.889448,44,0.9962000250816345
1723823597.464988,45,0.9965999722480774
1723823609.201813,46,0.9963333606719971
1723823620.674915,47,0.995199978351593
1723823632.264358,48,0.9932666420936584
1723823643.838048,49,0.9931333065032959
