Wall time,Step,Value
1723834307.204988,0,0.263743132352829
1723834830.713748,1,0.024280022829771042
1723835352.693858,2,0.011979707516729832
1723835874.672698,3,0.006712121888995171
1723836396.533997,4,0.004704557824879885
1723836919.051581,5,0.0028433219995349646
1723837441.231887,6,0.002401961712166667
1723837966.199549,7,0.0016413466073572636
1723838488.746643,8,0.0011496305232867599
1723839011.179843,9,0.0009632528526708484
